id,name,album,artists,duration_ms,popularity
0pwQZkXAMjnTMSEaAQ6IG3,Alone Forever,"{'id': '7gXd4yQ2j6bnA85edia95q', 'name': 'Alone Forever', 'release_date': '2023-08-02', 'album_type': 'single', 'total_tracks': 1}","[{'id': '20Mutv4YGHdWGQXZFFjbuD', 'name': 'Joel Cossette', 'genres': []}]",198851,42
5xEM5hIgJ1jjgcEBfpkt2F,Complicated,"{'id': '3zXjR3y2dUWklKmmp6lEhy', 'name': 'Let Go', 'release_date': '2002-06-04', 'album_type': 'album', 'total_tracks': 13}","[{'id': '0p4nmQO2msCgU4IF37Wi3j', 'name': 'Avril Lavigne', 'genres': []}]",244506,84
5xEM5hIgJ1jjgcEBfpkt2F,Complicated,"{'id': '3zXjR3y2dUWklKmmp6lEhy', 'name': 'Let Go', 'release_date': '2002-06-04', 'album_type': 'album', 'total_tracks': 13}","[{'id': '0p4nmQO2msCgU4IF37Wi3j', 'name': 'Avril Lavigne', 'genres': []}]",244506,84
5u2FOoFhp495GIj5BJC77J,Hold On Till May,"{'id': '661Hz0qJK8WIp7vAWsqKvk', 'name': 'Collide With The Sky', 'release_date': '2012-07-17', 'album_type': 'album', 'total_tracks': 12}","[{'id': '4iJLPqClelZOBCBifm8Fzv', 'name': 'Pierce The Veil', 'genres': ['emo', 'screamo', 'post-hardcore']}, {'id': '7lbX2TQTHawmdlhNuXDzHs', 'name': 'Lindsey Stamey', 'genres': []}]",278586,71
40WWeoX26jtsfdmFx5iRty,I'm Low On Gas And You Need A Jacket,"{'id': '661Hz0qJK8WIp7vAWsqKvk', 'name': 'Collide With The Sky', 'release_date': '2012-07-17', 'album_type': 'album', 'total_tracks': 12}","[{'id': '4iJLPqClelZOBCBifm8Fzv', 'name': 'Pierce The Veil', 'genres': ['emo', 'screamo', 'post-hardcore']}]",252386,67
6K8VQ84MqhsoakN5MjrnVR,Supercut,"{'id': '2B87zXm9bOWvAJdkJBTpzF', 'name': 'Melodrama', 'release_date': '2017-06-16', 'album_type': 'album', 'total_tracks': 11}","[{'id': '163tK9Wjr9P9DmM0AVK7lm', 'name': 'Lorde', 'genres': []}]",277506,79
3G6hD9B2ZHOsgf4WfNu7X1,Team,"{'id': '0rmhjUgoVa17LZuS8xWQ3v', 'name': 'Pure Heroine', 'release_date': '2013-09-27', 'album_type': 'album', 'total_tracks': 10}","[{'id': '163tK9Wjr9P9DmM0AVK7lm', 'name': 'Lorde', 'genres': []}]",193058,81
2dLLR6qlu5UJ5gk0dKz0h3,Royals,"{'id': '0rmhjUgoVa17LZuS8xWQ3v', 'name': 'Pure Heroine', 'release_date': '2013-09-27', 'album_type': 'album', 'total_tracks': 10}","[{'id': '163tK9Wjr9P9DmM0AVK7lm', 'name': 'Lorde', 'genres': []}]",190185,80
5pKCDm2fw4k6D6C5Rk646C,Tears Don't Fall,"{'id': '58TQcPpRD9XcXhUDWF5P27', 'name': 'The Poison', 'release_date': '2005', 'album_type': 'album', 'total_tracks': 13}","[{'id': '7iWiAD5LLKyiox2grgfmUT', 'name': 'Bullet For My Valentine', 'genres': ['metalcore', 'metal']}]",348386,68
3ZffCQKLFLUvYM59XKLbVm,Wake Me up When September Ends,"{'id': '5dN7F9DV0Qg1XRdIgW8rke', 'name': 'American Idiot', 'release_date': '2004-09-21', 'album_type': 'album', 'total_tracks': 9}","[{'id': '7oPftvlwr6VrsViSDV7fJY', 'name': 'Green Day', 'genres': ['punk', 'pop punk']}]",285653,81
40WWeoX26jtsfdmFx5iRty,I'm Low On Gas And You Need A Jacket,"{'id': '661Hz0qJK8WIp7vAWsqKvk', 'name': 'Collide With The Sky', 'release_date': '2012-07-17', 'album_type': 'album', 'total_tracks': 12}","[{'id': '4iJLPqClelZOBCBifm8Fzv', 'name': 'Pierce The Veil', 'genres': ['emo', 'screamo', 'post-hardcore']}]",252386,67
54JKnDB3CzVu8wNAOM27BI,When You're Gone,"{'id': '6lqE05fiHWJVYYdMVJNj38', 'name': 'The Best Damn Thing (Expanded Edition)', 'release_date': '2007-04-17', 'album_type': 'album', 'total_tracks': 17}","[{'id': '0p4nmQO2msCgU4IF37Wi3j', 'name': 'Avril Lavigne', 'genres': []}]",240493,73
6rlnljojqC42vtUeixpFAg,Heaven Help Us,"{'id': '3WEwomTOJHNRGZggBfCeGX', 'name': 'The Black Parade: The B-Sides', 'release_date': '2006-10-20', 'album_type': 'single', 'total_tracks': 5}","[{'id': '7FBcuc1gsnv6Y1nwFtNRCb', 'name': 'My Chemical Romance', 'genres': ['emo', 'pop punk']}]",175946,53
0Jli6hojT6aSBcFg4L2P5f,I Don't Love You,"{'id': '29mlJg2PpuihKDNYZalIxw', 'name': 'The Black Parade / Living with Ghosts (The 10th Anniversary Edition)', 'release_date': '2016-09-23', 'album_type': 'album', 'total_tracks': 25}","[{'id': '7FBcuc1gsnv6Y1nwFtNRCb', 'name': 'My Chemical Romance', 'genres': ['emo', 'pop punk']}]",238680,42
4MDwdymY1PVqtqNWW90ZKP,Red Flag,"{'id': '2rC9jE6RZDJWKVjFri150t', 'name': 'Red Flag', 'release_date': '2024-06-16', 'album_type': 'single', 'total_tracks': 1}","[{'id': '1yWLf9thhwjqScDt6Az4Z9', 'name': 'Tez', 'genres': ['v-pop', 'vietnamese hip hop', 'vinahouse']}, {'id': '5Hv9MhUFvGlYurce5BDRUh', 'name': 'Gill', 'genres': ['vietnamese hip hop', 'v-pop', 'vietnam indie']}, {'id': '39UJlviUwzZGZrA8DiQy31', 'name': 'Mason Nguyen', 'genres': ['vietnamese hip hop', 'v-pop']}]",151480,45
6BrkVzB76maKNqcryCmd1c,Khi 22,"{'id': '5RqSAt1rbN0shxXTcZkWRs', 'name': 'ĐÔI CHÂN ĐI', 'release_date': '2025-06-06', 'album_type': 'album', 'total_tracks': 17}","[{'id': '4jQZaxfgwiUJFQagCyZNV4', 'name': 'Ricky Star', 'genres': ['vietnamese hip hop', 'v-pop', 'vietnam indie']}, {'id': '0JggLWdYe1p6oHZoHpyPSD', 'name': 'Blacka', 'genres': ['vietnamese hip hop', 'v-pop']}]",248785,46
7bgTQM4WaCDHMVxYxP78qq,GIÀU NHẤT KHU PHÙ HOA,"{'id': '34kM1CZ2wolcVmmHBiDuRO', 'name': 'WeChoice Awards 2024', 'release_date': '2025-01-10', 'album_type': 'single', 'total_tracks': 6}","[{'id': '3rjcQ5VIWCN4q7UFetzdeO', 'name': 'JustaTee', 'genres': ['v-pop', 'vietnamese hip hop', 'vietnam indie']}, {'id': '1Jmkhzve9TuXHUUWGmpANw', 'name': 'Wxrdie', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '5Hv9MhUFvGlYurce5BDRUh', 'name': 'Gill', 'genres': ['vietnamese hip hop', 'v-pop', 'vietnam indie']}, {'id': '5xY6E5PMZNtz9jDvxTRiGI', 'name': 'Dangrangto', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '3JWIaDWHJq11w1xPqJStEv', 'name': 'Hustlang Robber', 'genres': ['vietnamese hip hop', 'v-pop']}]",320000,43
6ASSc7SMY7OwRiNQghyrBs,Đêm Trời Cho,"{'id': '0lizaedcM1IvcNP5cmxYZX', 'name': 'Đêm Trời Cho', 'release_date': '2022-11-25', 'album_type': 'single', 'total_tracks': 1}","[{'id': '5Hv9MhUFvGlYurce5BDRUh', 'name': 'Gill', 'genres': ['vietnamese hip hop', 'v-pop', 'vietnam indie']}, {'id': '0wATZebE9ZNj7fTjTdwiJB', 'name': 'Kewtiie', 'genres': ['v-pop', 'vietnamese hip hop', 'vietnam indie']}]",185806,28
7kGIyLg83RiyfxU9teXVHa,Mấy Cái Cúc,"{'id': '33VMJ5jt8YwoCksqBtI3Jy', 'name': 'Mấy Cái Cúc', 'release_date': '2025-07-14', 'album_type': 'single', 'total_tracks': 1}","[{'id': '3piry0LLLlUlt8njD4YZ0p', 'name': 'YoungTazle', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '3wpXSzZJGMqPISAaXHJ854', 'name': 'YBEEsofresh', 'genres': ['melodic rap']}, {'id': '3vKwWYkN7HO195UkIyXeVj', 'name': 'playboicamau', 'genres': []}]",243781,44
