id,name,genres
5HZtdKfC4xU0wvhEyYDWiY,HIEUTHUHAI,"['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']"
4MHq627pFLlhqrdQTamHtm,$ativa,"['vietnamese hip hop', 'v-pop']"
1DxMYqEhE2kFdVI9mrxUJf,Buford,[]
3oD2yI1g6aT3KawHD8ZYaU,TeuYungBoy,"['vietnamese hip hop', 'v-pop']"
5xY6E5PMZNtz9jDvxTRiGI,Dangrangto,"['vietnamese hip hop', 'v-pop']"
3rSAej8VUifF02zpsGjsRZ,DONAL,"['vietnamese hip hop', 'v-pop']"
0FvZX3MHDrlAAnf15FgBkA,Richie D. ICY,"['vietnamese hip hop', 'v-pop']"
0ZbgKh0FgPYeFP38nVaEGp,Obito,"['v-pop', 'vietnamese hip hop', 'vietnam indie']"
620SGhgUsNYFnVULyiGCeL,RPT TC,"['vietnamese hip hop', 'v-pop']"
25JRC8aMGIGBIJ5KiINv3l,RPT Orijinn,"['vietnamese hip hop', 'v-pop']"
5GMm4G65nNaLgMddJ6Zsor,phemak,"['vietnamese hip hop', 'v-pop']"
